Day,S   ,E  ,I   ,R
0  ,9000,0  ,1000,0
1  ,8497,276,971 ,256
2  ,8095,432,1070,403
3  ,7762,508,1147,583
4  ,7446,526,1263,765
5  ,7167,526,1336,971
6  ,6898,550,1373,1179
7  ,6614,555,1441,1390
8  ,6386,549,1436,1629
9  ,6166,530,1456,1848
10 ,5955,489,1489,2067
11 ,5724,496,1485,2295
12 ,5515,472,1485,2528
13 ,5340,436,1448,2776
14 ,5127,425,1349,3099
15 ,4961,403,1303,3333
16 ,4802,397,1228,3573
17 ,4625,384,1217,3774
18 ,4459,370,1166,4005
19 ,4306,358,1130,4206
20 ,4161,329,1117,4393
21 ,4028,331,1053,4588
22 ,3894,330,1011,4765
23 ,3755,316,994 ,4935
24 ,3631,321,928 ,5120
25 ,3512,295,900 ,5293
26 ,3394,275,876 ,5455
27 ,3269,268,854 ,5609
28 ,3165,249,838 ,5748
29 ,3060,238,798 ,5904
30 ,2962,228,746 ,6064
31 ,2871,220,710 ,6199
32 ,2785,207,685 ,6323
33 ,2700,207,646 ,6447
34 ,2616,200,618 ,6566
35 ,2535,192,578 ,6695
36 ,2464,177,554 ,6805
37 ,2390,172,531 ,6907
38 ,2332,165,496 ,7007
39 ,2271,148,487 ,7094
40 ,2211,139,464 ,7186
41 ,2147,136,446 ,7271
42 ,2103,115,424 ,7358
43 ,2051,107,400 ,7442
44 ,2015,94 ,375 ,7516
45 ,1960,99 ,356 ,7585
46 ,1910,97 ,345 ,7648
47 ,1863,97 ,319 ,7721
48 ,1821,95 ,310 ,7774
49 ,1779,102,289 ,7830
50 ,1739,103,274 ,7884
51 ,1693,112,256 ,7939
52 ,1649,103,264 ,7984
53 ,1621,81 ,251 ,8047
54 ,1589,79 ,239 ,8093
55 ,1555,76 ,239 ,8130
56 ,1521,80 ,232 ,8167
57 ,1488,79 ,227 ,8206
58 ,1457,73 ,227 ,8243
59 ,1412,79 ,227 ,8282
60 ,1388,68 ,217 ,8327
61 ,1358,73 ,203 ,8366
62 ,1323,70 ,204 ,8403
63 ,1294,59 ,206 ,8441
64 ,1270,51 ,208 ,8471
65 ,1245,46 ,194 ,8515
66 ,1218,46 ,177 ,8559
67 ,1189,56 ,159 ,8596
68 ,1164,65 ,155 ,8616
69 ,1142,65 ,146 ,8647
70 ,1118,58 ,157 ,8667
71 ,1100,47 ,165 ,8688
72 ,1081,51 ,146 ,8722
73 ,1067,46 ,129 ,8758
74 ,1049,41 ,135 ,8775
75 ,1028,38 ,139 ,8795
76 ,1002,41 ,140 ,8817
77 ,983 ,39 ,131 ,8847
78 ,963 ,38 ,129 ,8870
79 ,944 ,39 ,120 ,8897
80 ,925 ,40 ,120 ,8915
81 ,914 ,30 ,127 ,8929
82 ,894 ,40 ,118 ,8948
83 ,883 ,29 ,118 ,8970
84 ,867 ,35 ,110 ,8988
85 ,860 ,28 ,103 ,9009
86 ,844 ,34 ,94  ,9028
87 ,827 ,38 ,95  ,9040
88 ,811 ,45 ,86  ,9058
89 ,796 ,45 ,84  ,9075
90 ,796 ,26 ,85  ,9093
91 ,796 ,19 ,73  ,9112
92 ,796 ,16 ,67  ,9121
93 ,796 ,13 ,60  ,9131
94 ,796 ,9  ,53  ,9142
95 ,796 ,7  ,42  ,9155
96 ,796 ,2  ,39  ,9163
97 ,796 ,2  ,29  ,9173
98 ,796 ,1  ,24  ,9179
99 ,796 ,1  ,20  ,9183
100,796 ,1  ,16  ,9187
101,796 ,1  ,12  ,9191
102,796 ,1  ,9   ,9194
103,796 ,0  ,6   ,9198
104,796 ,0  ,5   ,9199
105,796 ,0  ,4   ,9200
106,796 ,0  ,3   ,9201
107,796 ,0  ,3   ,9201
108,796 ,0  ,3   ,9201
109,796 ,0  ,2   ,9202
110,796 ,0  ,1   ,9203
111,796 ,0  ,1   ,9203
112,796 ,0  ,1   ,9203
113,796 ,0  ,1   ,9203
114,796 ,0  ,1   ,9203
115,796 ,0  ,1   ,9203
116,796 ,0  ,0   ,9204
